date,transaction_volume,customer_volume,aws_cost
2025-07-25,104736490.83717899,11143371,12179.7908481851
2025-07-26,105426810.53143452,11150498,12521.7644670404
2025-07-27,106295254.08162524,11157800,13409.4360028236
2025-07-28,115542599.95858149,11166305,11573.2270147927
2025-07-29,93842468.19034387,11172496,12053.0889284458
2025-07-30,104061347.41229594,11179473,12993.0121173803
2025-07-31,119002649.06188905,11188204,12792.3070233658
2025-08-01,117809781.17401876,11195700,12015.7872757214
2025-08-02,120758704.10559222,11202978,13858.9611781347
2025-08-03,115250476.54739822,11211229,15181.5397166961
2025-08-04,122289043.47342826,11220932,12650.8416525619
2025-08-05,104484105.20319556,11230223,12688.3002003034
2025-08-06,116766975.57779112,11238523,14203.6426443114
2025-08-07,145207160.71655798,11251491,13856.7647881998
2025-08-08,129536362.90378603,11259719,13633.5936041566
2025-08-09,124640287.87773532,11267602,13576.7274608338
2025-08-10,113943179.60402918,11276461,14672.5926392329
2025-08-11,122851750.85793678,11285383,12819.9216118239
2025-08-12,108944632.99756859,11293120,13652.7077107007
2025-08-13,111144342.78568947,11302058,14086.1589244128
2025-08-14,122485604.72386245,11312311,13544.0900341422
2025-08-15,113276279.0413338,11322670,13994.5360648707
2025-08-16,119165941.06286904,11332225,14320.6327263117
2025-08-17,110143549.28794721,11343301,14775.4245940944
2025-08-18,110862660.98114873,11353570,12463.9360614708
2025-08-19,98831602.81011488,11362332,12936.9865574641
2025-08-20,106941653.51873519,11372936,14138.4470422265
2025-08-21,132086236.27648489,11385232,13965.7472452678
2025-08-22,114512515.29003125,11395498,14352.2197038615
2025-08-23,116050649.36436263,11406557,15207.3851391977
2025-08-24,105167452.47655436,11417291,15021.6661617489
2025-08-25,109817410.04515457,11428335,13061.5417214338
2025-08-26,104491549.78812087,11449628,13374.825191775
2025-08-27,107494435.45675582,11510741,14729.152441506
2025-08-28,137375975.99166375,11654837,14375.9448673172
2025-08-29,117559987.44199814,12045324,14588.425812788
2025-08-30,132071317.09621397,12256860,15455.8896915507
2025-08-31,125095767.03021882,12269759,16639.3136679551
2025-09-01,125657275.34465492,12289589,12912.1917479468
2025-09-02,116646145.25003837,12299173,14529.3521068584
2025-09-03,119433055.82697153,12308962,15401.2811089616
2025-09-04,133660307.83042154,12319600,15524.6985180298
2025-09-05,128969058.00800322,12332720,16776.8961101486
2025-09-06,153556671.28636417,12343879,16149.7330854771
2025-09-07,134394739.84000617,12354822,16573.6762358684
2025-09-08,131816970.78152137,12366134,15311.6045973436
2025-09-09,119460442.32025008,12376440,16054.8935557667
2025-09-10,124691427.63459533,12391279,16073.4881516423
2025-09-11,145763593.59879583,12404856,15501.4639115591
2025-09-12,135394551.0552053,12417076,16598.7942302268
2025-09-13,129762682.48697464,12429405,16964.9445145012
2025-09-14,119782215.04689127,12442333,17508.7444005076
2025-09-15,131087887.62764849,12456957,14994.5180849966
2025-09-16,120110277.96663228,12472199,16397.7487658853
2025-09-17,126157853.8103508,12491360,17790.4651409252
2025-09-18,151527127.58596733,12512731,17717.322086335
2025-09-19,135023432.13615838,12534383,17625.2782904032
2025-09-20,148163269.57971516,12551654,18759.9725784705
2025-09-21,140184495.1719347,12567937,19097.5900747289
2025-09-22,136702796.24869746,12585291,15762.4050366415
2025-09-23,119905793.9562348,12599674,12679.129759906
